Client,Date,Courtier,Prix Courtier,Comission Courtier,Limite D&O,Limite E&O ,Prix Police D'Assurance
1,1/1/2016,Courtier A,6870,0.1,1500000,500000,75579
10,1/1/2016,Courtier A,8616,0.1,2000000,1000000,94776
20,1/1/2016,Courtier A,4639,0.1,500000,100000,51036
21,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
35,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
51,1/1/2016,Courtier A,5150,0.1,500000,100000,56650
55,1/1/2016,Courtier A,9993,0.1,2000000,1000000,109933
78,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
87,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
88,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
96,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
106,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
112,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
126,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
133,1/1/2016,Courtier A,9279,0.1,1500000,500000,102073
144,1/1/2016,Courtier A,9279,0.1,2000000,1000000,102073
145,1/1/2016,Courtier A,8616,0.1,2000000,1000000,94776
158,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
167,1/1/2016,Courtier A,7315,0.1,1500000,500000,80465
171,1/1/2016,Courtier A,6105,0.1,1500000,500000,67155
176,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
199,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
227,1/1/2016,Courtier A,4996,0.1,500000,100000,54966
228,1/1/2016,Courtier A,4639,0.1,500000,100000,51036
229,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
231,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
252,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
253,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
257,1/1/2016,Courtier A,8880,0.1,2000000,1000000,97680
265,1/1/2016,Courtier A,4781,0.1,500000,100000,52600
279,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
283,1/1/2016,Courtier A,5150,0.1,500000,100000,56650
285,1/1/2016,Courtier A,5923,0.1,1000000,250000,65158
286,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
299,1/1/2016,Courtier A,5923,0.1,1000000,250000,65158
306,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
308,1/1/2016,Courtier A,9279,0.1,1500000,500000,102073
319,1/1/2016,Courtier A,4639,0.1,500000,100000,51036
326,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
329,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
330,1/1/2016,Courtier A,9279,0.1,2000000,1000000,102073
355,1/1/2016,Courtier A,8616,0.1,1500000,500000,94776
371,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
375,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
386,1/1/2016,Courtier A,4440,0.1,500000,100000,48840
416,1/1/2016,Courtier A,7081,0.1,1500000,500000,77895
435,1/1/2016,Courtier A,4996,0.1,500000,100000,54966
441,1/1/2016,Courtier A,4440,0.1,500000,100000,48840
446,1/1/2016,Courtier A,8616,0.1,1500000,500000,94776
448,1/1/2016,Courtier A,10300,0.1,2000000,1000000,113301
459,1/1/2016,Courtier A,4996,0.1,1000000,250000,54966
477,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
485,1/1/2016,Courtier A,8616,0.1,1500000,500000,94776
502,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
527,1/1/2016,Courtier A,5150,0.1,500000,100000,56650
530,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
534,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
542,1/1/2016,Courtier A,7331,0.1,2000000,1000000,80649
544,1/1/2016,Courtier A,5483,0.1,500000,100000,60313
550,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
560,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
566,1/1/2016,Courtier A,4308,0.1,500000,100000,47388
585,1/1/2016,Courtier A,6776,0.1,1500000,500000,74542
593,1/1/2016,Courtier A,4639,0.1,500000,100000,51036
602,1/1/2016,Courtier A,5923,0.1,1000000,250000,65158
607,1/1/2016,Courtier A,6870,0.1,1500000,500000,75579
618,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
622,1/1/2016,Courtier A,4308,0.1,500000,100000,47388
623,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
634,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
640,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
643,1/1/2016,Courtier A,6575,0.1,1500000,500000,72325
654,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
660,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
663,1/1/2016,Courtier A,6575,0.1,1000000,250000,72325
665,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
705,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
706,1/1/2016,Courtier A,4996,0.1,500000,100000,54966
710,1/1/2016,Courtier A,6870,0.1,1500000,500000,75579
718,1/1/2016,Courtier A,4996,0.1,500000,100000,54966
723,1/1/2016,Courtier A,4308,0.1,500000,100000,47388
730,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
734,1/1/2016,Courtier A,8616,0.1,1500000,500000,94776
735,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
736,1/1/2016,Courtier A,4308,0.1,500000,100000,47388
744,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
746,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
749,1/1/2016,Courtier A,4996,0.1,500000,100000,54966
750,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
752,1/1/2016,Courtier A,9279,0.1,2000000,1000000,102073
757,1/1/2016,Courtier A,6575,0.1,1000000,250000,72325
774,1/1/2016,Courtier A,5923,0.1,1000000,250000,65158
781,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
785,1/1/2016,Courtier A,4996,0.1,500000,100000,54966
792,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
799,1/1/2016,Courtier A,4308,0.1,500000,100000,47388
800,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
802,1/1/2016,Courtier A,8616,0.1,1500000,500000,94776
830,1/1/2016,Courtier A,9993,0.1,2000000,1000000,109933
839,1/1/2016,Courtier A,4639,0.1,500000,100000,51036
843,1/1/2016,Courtier A,4440,0.1,500000,100000,48840
846,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
874,1/1/2016,Courtier A,4996,0.1,500000,100000,54966
902,1/1/2016,Courtier A,7081,0.1,1500000,500000,77895
907,1/1/2016,Courtier A,6379,0.1,1000000,250000,70175
916,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
972,1/1/2016,Courtier A,8616,0.1,1500000,500000,94776
973,1/1/2016,Courtier A,4308,0.1,500000,100000,47388
990,1/1/2016,Courtier A,5923,0.1,1000000,250000,65158
993,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
994,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
997,1/1/2016,Courtier A,4308,0.1,500000,100000,47388
1001,1/1/2016,Courtier A,4308,0.1,500000,100000,47388
1010,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
1021,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
1026,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
1035,1/1/2016,Courtier A,6105,0.1,1000000,250000,67155
1039,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
1047,1/1/2016,Courtier A,9279,0.1,1500000,500000,102073
1053,1/1/2016,Courtier A,9993,0.1,2000000,1000000,109933
1055,1/1/2016,Courtier A,4308,0.1,500000,100000,47388
1065,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
1072,1/1/2016,Courtier A,6379,0.1,1000000,250000,70175
1085,1/1/2016,Courtier A,5923,0.1,1000000,250000,65158
1116,1/1/2016,Courtier A,9563,0.1,2000000,1000000,105201
1121,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
1133,1/1/2016,Courtier A,4996,0.1,500000,100000,54966
1134,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
1150,1/1/2016,Courtier A,7081,0.1,1500000,500000,77895
1158,1/1/2016,Courtier A,5320,0.1,1000000,250000,58520
1159,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
1170,1/1/2016,Courtier A,4308,0.1,500000,100000,47388
1173,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
1184,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
1189,1/1/2016,Courtier A,4308,0.1,500000,100000,47388
1191,1/1/2016,Courtier A,10966,0.1,2000000,1000000,120627
1197,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
1199,1/1/2016,Courtier A,10300,0.1,2000000,1000000,113301
1208,1/1/2016,Courtier A,8616,0.1,1500000,500000,94776
1215,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
1217,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
1224,1/1/2016,Courtier A,6379,0.1,1000000,250000,70175
1226,1/1/2016,Courtier A,4308,0.1,500000,100000,47388
1229,1/1/2016,Courtier A,5923,0.1,1000000,250000,65158
1233,1/1/2016,Courtier A,6105,0.1,1500000,500000,67155
1235,1/1/2016,Courtier A,4308,0.1,500000,100000,47388
1246,1/1/2016,Courtier A,4996,0.1,500000,100000,54966
1248,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
